cod_local	Branco	DR HENRIQUE APPARICIO	DRA AMANDA HORATORIO	EDIMAR SALEM	LUIZ TEIXEIRA	MARCOS NEVES	Nulo	NÉIA COSTA	PROF RICARDO MARCUSSO	PROFESSORA SÔNIA	SERGIO RIBEIRO	VASQUINHO GAMA	WILLIAM TEIXEIRA	vencedor	v_valid	e_apto	e_comp	e_abst	DR HENRIQUE APPARICIO_%	DRA AMANDA HORATORIO_%	EDIMAR SALEM_%	LUIZ TEIXEIRA_%	MARCOS NEVES_%	NÉIA COSTA_%	PROF RICARDO MARCUSSO_%	PROFESSORA SÔNIA_%	SERGIO RIBEIRO_%	VASQUINHO GAMA_%	WILLIAM TEIXEIRA_%	longitude	latitude
L09631	274,00	15,00	42,00	20,00	7,00	2804,00	328,00	111,00	44,00	437,00	291,00	49,00	5,00	MARCOS NEVES	3825,00	6045	4427	1618	0,39	1,10	0,52	0,18	73,31	2,90	1,15	11,42	7,61	1,28	0,13	-46,8339330	-23,5418341
L09632	406,00	10,00	45,00	4,00	0,00	2706,00	592,00	107,00	32,00	648,00	300,00	32,00	7,00	MARCOS NEVES	3891,00	6488	4889	1599	0,26	1,16	0,10	0,00	69,55	2,75	0,82	16,65	7,71	0,82	0,18	-46,8168725	-23,5718039
L09633	209,00	5,00	39,00	5,00	2,00	2223,00	252,00	116,00	20,00	358,00	172,00	51,00	1,00	MARCOS NEVES	2992,00	4741	3453	1288	0,17	1,30	0,17	0,07	74,30	3,88	0,67	11,97	5,75	1,70	0,03	-46,8458215	-23,5327623
L09634	287,00	17,00	79,00	2,00	0,00	2581,00	345,00	81,00	35,00	424,00	225,00	28,00	9,00	MARCOS NEVES	3481,00	5786	4113	1673	0,49	2,27	0,06	0,00	74,15	2,33	1,01	12,18	6,46	0,80	0,26	-46,8428352	-23,5641475
L09635	120,00	10,00	30,00	10,00	0,00	1232,00	198,00	90,00	14,00	219,00	110,00	14,00	0,00	MARCOS NEVES	1729,00	2757	2047	710	0,58	1,74	0,58	0,00	71,26	5,21	0,81	12,67	6,36	0,81	0,00	-46,8355662	-23,5552267
L09636	232,00	3,00	45,00	7,00	3,00	2245,00	303,00	105,00	26,00	295,00	223,00	88,00	1,00	MARCOS NEVES	3041,00	4920	3576	1344	0,10	1,48	0,23	0,10	73,82	3,45	0,85	9,70	7,33	2,89	0,03	-46,8595072	-23,5254034
L09637	119,00	5,00	18,00	1,00	0,00	1200,00	167,00	62,00	10,00	219,00	110,00	14,00	6,00	MARCOS NEVES	1645,00	2694	1931	763	0,30	1,09	0,06	0,00	72,95	3,77	0,61	13,31	6,69	0,85	0,36	-46,8334655	-23,5559586
L09638	196,00	13,00	73,00	1,00	1,00	1429,00	235,00	74,00	47,00	283,00	167,00	42,00	8,00	MARCOS NEVES	2138,00	3842	2569	1273	0,61	3,41	0,05	0,05	66,84	3,46	2,20	13,24	7,81	1,96	0,37	-46,8432767	-23,5683393
L09639	234,00	14,00	28,00	2,00	0,00	2436,00	299,00	113,00	30,00	355,00	285,00	34,00	36,00	MARCOS NEVES	3333,00	5153	3866	1287	0,42	0,84	0,06	0,00	73,09	3,39	0,90	10,65	8,55	1,02	1,08	-46,8562213	-23,5495863
L09640	109,00	2,00	23,00	1,00	0,00	1067,00	121,00	58,00	16,00	145,00	101,00	12,00	9,00	MARCOS NEVES	1434,00	2242	1664	578	0,14	1,60	0,07	0,00	74,41	4,04	1,12	10,11	7,04	0,84	0,63	-46,8417200	-23,5557559
L09641	232,00	19,00	50,00	7,00	4,00	2356,00	319,00	98,00	32,00	364,00	229,00	54,00	8,00	MARCOS NEVES	3221,00	4898	3772	1126	0,59	1,55	0,22	0,12	73,14	3,04	0,99	11,30	7,11	1,68	0,25	-46,8325635	-23,5606183
L09642	276,00	11,00	29,00	3,00	1,00	3274,00	352,00	129,00	20,00	390,00	334,00	35,00	4,00	MARCOS NEVES	4230,00	6695	4858	1837	0,26	0,69	0,07	0,02	77,40	3,05	0,47	9,22	7,90	0,83	0,09	-46,8510480	-23,5362829
