cod_local	Branco	DR LINDOSO	EMIDIO DE SOUZA	MARCO SOUZA DATENINHA	Nulo	REINALDO MOTA	ROGÉRIO LINS	SIMONY DOS ANJOS	vencedor	v_valid	e_apto	e_comp	e_abst	DR LINDOSO_%	EMIDIO DE SOUZA_%	MARCO SOUZA DATENINHA_%	REINALDO MOTA_%	ROGÉRIO LINS_%	SIMONY DOS ANJOS_%	longitude	latitude
L07850	272,00	796,00	608,00	22,00	502,00	22,00	1965,00	118,00	ROGÉRIO LINS	3531,00	5697	4305	1392	22,54	17,22	0,62	0,62	55,65	3,34	-46,7904382	-23,4990201
L07851	170,00	426,00	356,00	5,00	297,00	24,00	1217,00	44,00	ROGÉRIO LINS	2072,00	3364	2539	825	20,56	17,18	0,24	1,16	58,74	2,12	-46,7909369	-23,5050777
L07852	359,00	981,00	1037,00	28,00	645,00	22,00	2509,00	83,00	ROGÉRIO LINS	4660,00	7255	5664	1591	21,05	22,25	0,60	0,47	53,84	1,78	-46,7901692	-23,4894744
L07853	190,00	514,00	499,00	8,00	307,00	30,00	1355,00	65,00	ROGÉRIO LINS	2471,00	3878	2968	910	20,80	20,19	0,32	1,21	54,84	2,63	-46,8028593	-23,5003978
L07854	263,00	622,00	692,00	13,00	473,00	30,00	1644,00	72,00	ROGÉRIO LINS	3073,00	5182	3809	1373	20,24	22,52	0,42	0,98	53,50	2,34	-46,8083282	-23,4992123
L07855	172,00	444,00	290,00	23,00	278,00	4,00	1456,00	77,00	ROGÉRIO LINS	2294,00	3633	2744	889	19,35	12,64	1,00	0,17	63,47	3,36	-46,8006874	-23,5164197
L07856	109,00	346,00	252,00	20,00	194,00	14,00	922,00	41,00	ROGÉRIO LINS	1595,00	2436	1898	538	21,69	15,80	1,25	0,88	57,81	2,57	-46,7854306	-23,4977596
L07857	173,00	504,00	413,00	9,00	311,00	25,00	1340,00	78,00	ROGÉRIO LINS	2369,00	3797	2853	944	21,27	17,43	0,38	1,06	56,56	3,29	-46,8046246	-23,4964528
L07858	52,00	107,00	48,00	8,00	89,00	2,00	402,00	45,00	ROGÉRIO LINS	612,00	1034	753	281	17,48	7,84	1,31	0,33	65,69	7,35	-46,7777073	-23,5532095
L07859	5,00	18,00	15,00	0,00	16,00	2,00	70,00	6,00	ROGÉRIO LINS	111,00	206	132	74	16,22	13,51	0,00	1,80	63,06	5,41	-46,7967711	-23,5722048
L07860	13,00	18,00	9,00	0,00	9,00	0,00	141,00	10,00	ROGÉRIO LINS	178,00	290	200	90	10,11	5,06	0,00	0,00	79,21	5,62	-46,7781678	-23,5609793
L07861	15,00	12,00	8,00	1,00	11,00	0,00	63,00	12,00	ROGÉRIO LINS	96,00	180	122	58	12,50	8,33	1,04	0,00	65,62	12,50	-46,7949097	-23,5717671
L07862	153,00	327,00	259,00	4,00	274,00	11,00	1241,00	82,00	ROGÉRIO LINS	1924,00	3210	2351	859	17,00	13,46	0,21	0,57	64,50	4,26	-46,7911598	-23,5737050
L07863	187,00	514,00	258,00	7,00	409,00	12,00	2013,00	150,00	ROGÉRIO LINS	2954,00	5047	3550	1497	17,40	8,73	0,24	0,41	68,14	5,08	-46,7820433	-23,5601685
L07864	278,00	655,00	387,00	17,00	495,00	31,00	2252,00	159,00	ROGÉRIO LINS	3501,00	5785	4274	1511	18,71	11,05	0,49	0,89	64,32	4,54	-46,7882770	-23,5671015
L07865	323,00	679,00	509,00	21,00	546,00	28,00	2551,00	159,00	ROGÉRIO LINS	3947,00	6732	4816	1916	17,20	12,90	0,53	0,71	64,63	4,03	-46,7961581	-23,5710313
L07866	179,00	499,00	242,00	29,00	362,00	26,00	1681,00	165,00	ROGÉRIO LINS	2642,00	4697	3183	1514	18,89	9,16	1,10	0,98	63,63	6,25	-46,7598272	-23,5497723
L07867	221,00	617,00	302,00	42,00	444,00	23,00	1966,00	219,00	ROGÉRIO LINS	3169,00	5702	3834	1868	19,47	9,53	1,33	0,73	62,04	6,91	-46,7718083	-23,5424754
