cod_local	ADRIANA AFONSO	Branco	EDUARDO BARRETO	ELÓI PIETÁ	FRAN CORREA	GUTI	JOVINO CANDIDO	Nulo	PROFESSOR AURIEL	PROFESSORA SANDRA SANTOS	RODRIGO TAVARES	SIMONE CARLETO	WAGNER FREITAS	vencedor	v_valid	e_apto	e_comp	e_abst	ADRIANA AFONSO_%	EDUARDO BARRETO_%	ELÓI PIETÁ_%	FRAN CORREA_%	GUTI_%	JOVINO CANDIDO_%	PROFESSOR AURIEL_%	PROFESSORA SANDRA SANTOS_%	RODRIGO TAVARES_%	SIMONE CARLETO_%	WAGNER FREITAS_%	longitude	latitude
L04238	142,00	268,00	2,00	1485,00	236,00	966,00	6,00	373,00	6,00	18,00	78,00	9,00	66,00	ELÓI PIETÁ	3014,00	4474	3655	819	4,71	0,07	49,27	7,83	32,05	0,20	0,20	0,60	2,59	0,30	2,19	-46,3962862	-23,4650561
L04239	78,00	256,00	5,00	1563,00	339,00	1093,00	8,00	463,00	42,00	30,00	136,00	29,00	50,00	ELÓI PIETÁ	3373,00	4961	4092	869	2,31	0,15	46,34	10,05	32,40	0,24	1,25	0,89	4,03	0,86	1,48	-46,4117159	-23,4448235
L04240	87,00	339,00	2,00	1458,00	215,00	1064,00	19,00	497,00	5,00	22,00	87,00	26,00	23,00	ELÓI PIETÁ	3008,00	4896	3844	1052	2,89	0,07	48,47	7,15	35,37	0,63	0,17	0,73	2,89	0,86	0,76	-46,3970402	-23,4775957
L04241	77,00	401,00	4,00	1720,00	360,00	1007,00	16,00	595,00	22,00	41,00	147,00	50,00	237,00	ELÓI PIETÁ	3681,00	5900	4677	1223	2,09	0,11	46,73	9,78	27,36	0,43	0,60	1,11	3,99	1,36	6,44	-46,4274434	-23,4577532
L04242	112,00	377,00	12,00	1960,00	483,00	1386,00	9,00	605,00	40,00	61,00	147,00	58,00	38,00	ELÓI PIETÁ	4306,00	6679	5288	1391	2,60	0,28	45,52	11,22	32,19	0,21	0,93	1,42	3,41	1,35	0,88	-46,4110028	-23,4412045
L04243	109,00	356,00	9,00	2079,00	571,00	1323,00	4,00	698,00	34,00	60,00	140,00	47,00	79,00	ELÓI PIETÁ	4455,00	6705	5509	1196	2,45	0,20	46,67	12,82	29,70	0,09	0,76	1,35	3,14	1,05	1,77	-46,4190397	-23,4390357
L04244	71,00	177,00	3,00	744,00	629,00	583,00	2,00	348,00	6,00	18,00	167,00	11,00	18,00	ELÓI PIETÁ	2252,00	3489	2777	712	3,15	0,13	33,04	27,93	25,89	0,09	0,27	0,80	7,42	0,49	0,80	-46,4384280	-23,4711710
L04245	53,00	210,00	1,00	883,00	199,00	658,00	8,00	341,00	7,00	17,00	164,00	35,00	100,00	ELÓI PIETÁ	2125,00	3234	2676	558	2,49	0,05	41,55	9,36	30,96	0,38	0,33	0,80	7,72	1,65	4,71	-46,4263197	-23,4646584
L04246	39,00	206,00	3,00	1311,00	281,00	678,00	1,00	377,00	50,00	10,00	116,00	25,00	27,00	ELÓI PIETÁ	2541,00	3767	3124	643	1,53	0,12	51,59	11,06	26,68	0,04	1,97	0,39	4,57	0,98	1,06	-46,4183363	-23,4566057
L04247	125,00	316,00	6,00	1977,00	416,00	1023,00	3,00	587,00	17,00	27,00	198,00	31,00	54,00	ELÓI PIETÁ	3877,00	5767	4780	987	3,22	0,15	50,99	10,73	26,39	0,08	0,44	0,70	5,11	0,80	1,39	-46,4006094	-23,4493557
