cod_local	Branco	CLAUDIO DONIZETE	DR LEANDRO ALTRÃO	LOURDES DA CHAPA COLETIVA	LUIZ MARINHO	Nulo	ORLANDO MORANDO	RAFAEL DEMARCHI	vencedor	v_valid	e_apto	e_comp	e_abst	CLAUDIO DONIZETE_%	DR LEANDRO ALTRÃO_%	LOURDES DA CHAPA COLETIVA_%	LUIZ MARINHO_%	ORLANDO MORANDO_%	RAFAEL DEMARCHI_%	longitude	latitude
L10372	60,00	0,00	25,00	14,00	281,00	107,00	519,00	106,00	ORLANDO MORANDO	945,00	1598	1112	486	0,00	2,65	1,48	29,74	54,92	11,22	-46,5300873	-23,7829370
L10373	124,00	1,00	36,00	9,00	454,00	253,00	1461,00	84,00	ORLANDO MORANDO	2045,00	3138	2422	716	0,05	1,76	0,44	22,20	71,44	4,11	-46,5904460	-23,7700205
L10374	138,00	2,00	30,00	19,00	1069,00	294,00	1497,00	68,00	ORLANDO MORANDO	2685,00	4026	3117	909	0,07	1,12	0,71	39,81	55,75	2,53	-46,5696532	-23,7431300
L10375	79,00	4,00	46,00	16,00	449,00	179,00	816,00	28,00	ORLANDO MORANDO	1359,00	2060	1617	443	0,29	3,38	1,18	33,04	60,04	2,06	-46,5847755	-23,7339221
L10376	116,00	5,00	85,00	10,00	413,00	212,00	1311,00	58,00	ORLANDO MORANDO	1882,00	2813	2210	603	0,27	4,52	0,53	21,94	69,66	3,08	-46,5989358	-23,7755274
L10377	82,00	1,00	40,00	9,00	388,00	140,00	670,00	68,00	ORLANDO MORANDO	1176,00	1781	1398	383	0,09	3,40	0,77	32,99	56,97	5,78	-46,5214577	-23,7753688
L10378	15,00	1,00	3,00	3,00	79,00	25,00	242,00	12,00	ORLANDO MORANDO	340,00	491	380	111	0,29	0,88	0,88	23,24	71,18	3,53	-46,6014671	-23,7521553
L10380	67,00	2,00	40,00	29,00	189,00	106,00	819,00	70,00	ORLANDO MORANDO	1149,00	1691	1322	369	0,17	3,48	2,52	16,45	71,28	6,09	-46,5501460	-23,7386150
L10520	142,00	13,00	108,00	159,00	440,00	417,00	3020,00	276,00	ORLANDO MORANDO	4016,00	6082	4575	1507	0,32	2,69	3,96	10,96	75,20	6,87	-46,5420768	-23,7092800
L10521	115,00	12,00	95,00	135,00	310,00	257,00	2171,00	149,00	ORLANDO MORANDO	2872,00	4355	3244	1111	0,42	3,31	4,70	10,79	75,59	5,19	-46,5457520	-23,6942020
L10522	181,00	5,00	112,00	39,00	540,00	416,00	2576,00	189,00	ORLANDO MORANDO	3461,00	5982	4058	1924	0,14	3,24	1,13	15,60	74,43	5,46	-46,5420990	-23,6924220
L10523	201,00	22,00	100,00	83,00	508,00	430,00	2514,00	203,00	ORLANDO MORANDO	3430,00	5818	4061	1757	0,64	2,92	2,42	14,81	73,29	5,92	-46,5458154	-23,6922331
L10524	166,00	6,00	59,00	34,00	748,00	321,00	2124,00	128,00	ORLANDO MORANDO	3099,00	5066	3586	1480	0,19	1,90	1,10	24,14	68,54	4,13	-46,5355563	-23,7044171
L10525	129,00	7,00	99,00	59,00	390,00	306,00	2750,00	236,00	ORLANDO MORANDO	3541,00	6224	3976	2248	0,20	2,80	1,67	11,01	77,66	6,66	-46,5421281	-23,7051226
L10526	193,00	6,00	35,00	15,00	784,00	354,00	1904,00	106,00	ORLANDO MORANDO	2850,00	4594	3397	1197	0,21	1,23	0,53	27,51	66,81	3,72	-46,5296551	-23,7104398
L10527	78,00	3,00	34,00	23,00	216,00	147,00	1301,00	119,00	ORLANDO MORANDO	1696,00	3021	1921	1100	0,18	2,00	1,36	12,74	76,71	7,02	-46,5569558	-23,6958244
L10528	136,00	3,00	33,00	17,00	520,00	262,00	1405,00	104,00	ORLANDO MORANDO	2082,00	3292	2480	812	0,14	1,59	0,82	24,98	67,48	5,00	-46,5316499	-23,7062854
L10529	87,00	1,00	24,00	6,00	378,00	138,00	864,00	60,00	ORLANDO MORANDO	1333,00	1988	1558	430	0,08	1,80	0,45	28,36	64,82	4,50	-46,5210263	-23,7073137
L10530	36,00	0,00	12,00	8,00	113,00	59,00	365,00	21,00	ORLANDO MORANDO	519,00	866	614	252	0,00	2,31	1,54	21,77	70,33	4,05	-46,5335771	-23,7063680
L10531	70,00	5,00	31,00	35,00	169,00	104,00	647,00	50,00	ORLANDO MORANDO	937,00	1446	1111	335	0,53	3,31	3,74	18,04	69,05	5,34	-46,5423157	-23,6934138
L10532	138,00	4,00	84,00	34,00	617,00	294,00	1733,00	106,00	ORLANDO MORANDO	2578,00	4338	3010	1328	0,16	3,26	1,32	23,93	67,22	4,11	-46,5369300	-23,7009249
L10533	127,00	3,00	68,00	19,00	669,00	250,00	1612,00	138,00	ORLANDO MORANDO	2509,00	3934	2886	1048	0,12	2,71	0,76	26,66	64,25	5,50	-46,5603170	-23,7008920
L10534	40,00	0,00	7,00	14,00	203,00	89,00	428,00	31,00	ORLANDO MORANDO	683,00	1029	812	217	0,00	1,02	2,05	29,72	62,66	4,54	-46,5303661	-23,7028651
L10535	175,00	4,00	48,00	26,00	1021,00	351,00	2011,00	128,00	ORLANDO MORANDO	3238,00	5216	3764	1452	0,12	1,48	0,80	31,53	62,11	3,95	-46,5355464	-23,7067193
L10536	116,00	12,00	62,00	56,00	293,00	282,00	1536,00	97,00	ORLANDO MORANDO	2056,00	3575	2454	1121	0,58	3,02	2,72	14,25	74,71	4,72	-46,5452788	-23,6890829
L10537	132,00	2,00	20,00	16,00	538,00	239,00	1245,00	74,00	ORLANDO MORANDO	1895,00	3018	2266	752	0,11	1,06	0,84	28,39	65,70	3,91	-46,5217845	-23,7079025
L10538	175,00	2,00	41,00	26,00	995,00	432,00	1968,00	99,00	ORLANDO MORANDO	3131,00	5028	3738	1290	0,06	1,31	0,83	31,78	62,86	3,16	-46,5268109	-23,7075040
L10539	29,00	3,00	31,00	24,00	107,00	86,00	665,00	68,00	ORLANDO MORANDO	898,00	1298	1013	285	0,33	3,45	2,67	11,92	74,05	7,57	-46,5417310	-23,7077940
L10540	6,00	0,00	7,00	4,00	21,00	11,00	85,00	10,00	ORLANDO MORANDO	127,00	178	144	34	0,00	5,51	3,15	16,54	66,93	7,87	-46,5431070	-23,6864369
L10541	160,00	9,00	104,00	99,00	632,00	351,00	2793,00	241,00	ORLANDO MORANDO	3878,00	5926	4389	1537	0,23	2,68	2,55	16,30	72,02	6,21	-46,5593550	-23,6972650
