cod_local	AILTON LIMA	ALEX ARRAIS	BRUNO DANIEL	Branco	JOÃO AVAMILENO	Nulo	PAULO SERRA	POLICIAL FEDERAL DENNIS FERRAO	PROFESSORA BETE SIRAQUE	SARGENTO LOBO	SIMONE CRISTINA SOUZA	vencedor	v_valid	e_apto	e_comp	e_abst	AILTON LIMA_%	ALEX ARRAIS_%	BRUNO DANIEL_%	JOÃO AVAMILENO_%	PAULO SERRA_%	POLICIAL FEDERAL DENNIS FERRAO_%	PROFESSORA BETE SIRAQUE_%	SARGENTO LOBO_%	SIMONE CRISTINA SOUZA_%	longitude	latitude
L07340	121,00	5,00	207,00	126,00	9,00	266,00	2099,00	31,00	139,00	44,00	4,00	PAULO SERRA	2659,00	4213	3051	1162	4,55	0,19	7,78	0,34	78,94	1,17	5,23	1,65	0,15	-46,5113909	-23,6829130
L07341	413,00	4,00	341,00	248,00	10,00	489,00	2502,00	24,00	446,00	48,00	1,00	PAULO SERRA	3789,00	6026	4526	1500	10,90	0,11	9,00	0,26	66,03	0,63	11,77	1,27	0,03	-46,5135165	-23,6985986
L07342	429,00	4,00	212,00	275,00	9,00	510,00	3082,00	28,00	375,00	36,00	2,00	PAULO SERRA	4177,00	6703	4962	1741	10,27	0,10	5,08	0,22	73,79	0,67	8,98	0,86	0,05	-46,5122000	-23,7097000
L07343	377,00	3,00	232,00	313,00	13,00	514,00	2994,00	42,00	399,00	77,00	4,00	PAULO SERRA	4141,00	6904	4968	1936	9,10	0,07	5,60	0,31	72,30	1,01	9,64	1,86	0,10	-46,5115057	-23,7042909
L07344	68,00	3,00	200,00	64,00	6,00	214,00	1686,00	25,00	135,00	43,00	2,00	PAULO SERRA	2168,00	3784	2446	1338	3,14	0,14	9,23	0,28	77,77	1,15	6,23	1,98	0,09	-46,5069000	-23,6705000
L07345	276,00	6,00	187,00	198,00	9,00	359,00	2206,00	17,00	262,00	33,00	2,00	PAULO SERRA	2998,00	4714	3555	1159	9,21	0,20	6,24	0,30	73,58	0,57	8,74	1,10	0,07	-46,5098318	-23,7066288
L07346	60,00	0,00	194,00	64,00	6,00	125,00	1240,00	31,00	77,00	27,00	2,00	PAULO SERRA	1637,00	2479	1826	653	3,67	0,00	11,85	0,37	75,75	1,89	4,70	1,65	0,12	-46,5134270	-23,6677330
L07347	51,00	0,00	30,00	56,00	3,00	74,00	523,00	5,00	69,00	9,00	0,00	PAULO SERRA	690,00	1216	820	396	7,39	0,00	4,35	0,43	75,80	0,72	10,00	1,30	0,00	-46,5085417	-23,7119745
L07348	76,00	1,00	96,00	67,00	3,00	155,00	836,00	17,00	83,00	23,00	1,00	PAULO SERRA	1136,00	1821	1358	463	6,69	0,09	8,45	0,26	73,59	1,50	7,31	2,02	0,09	-46,5095749	-23,6900581
L07349	334,00	7,00	271,00	247,00	12,00	401,00	2389,00	34,00	294,00	37,00	0,00	PAULO SERRA	3378,00	5412	4026	1386	9,89	0,21	8,02	0,36	70,72	1,01	8,70	1,10	0,00	-46,5172580	-23,6963450
L07350	91,00	6,00	215,00	87,00	7,00	262,00	2045,00	37,00	118,00	40,00	3,00	PAULO SERRA	2562,00	4853	2911	1942	3,55	0,23	8,39	0,27	79,82	1,44	4,61	1,56	0,12	-46,5129799	-23,6669307
L07351	22,00	0,00	23,00	16,00	3,00	29,00	142,00	3,00	19,00	2,00	1,00	PAULO SERRA	215,00	343	260	83	10,23	0,00	10,70	1,40	66,05	1,40	8,84	0,93	0,47	-46,5101158	-23,6961781
L09406	84,00	2,00	102,00	75,00	2,00	155,00	996,00	11,00	73,00	29,00	3,00	PAULO SERRA	1302,00	1973	1532	441	6,45	0,15	7,83	0,15	76,50	0,84	5,61	2,23	0,23	-46,5014404	-23,7060406
L09407	122,00	5,00	25,00	109,00	2,00	142,00	911,00	7,00	113,00	9,00	1,00	PAULO SERRA	1195,00	1959	1446	513	10,21	0,42	2,09	0,17	76,23	0,59	9,46	0,75	0,08	-46,5002559	-23,7125334
L09408	43,00	0,00	43,00	38,00	3,00	67,00	567,00	3,00	39,00	13,00	0,00	PAULO SERRA	711,00	1029	816	213	6,05	0,00	6,05	0,42	79,75	0,42	5,49	1,83	0,00	-46,4999330	-23,6882180
L09409	51,00	0,00	55,00	63,00	0,00	125,00	846,00	5,00	76,00	14,00	1,00	PAULO SERRA	1048,00	1583	1236	347	4,87	0,00	5,25	0,00	80,73	0,48	7,25	1,34	0,10	-46,4982014	-23,6963427
L09410	334,00	3,00	101,00	236,00	4,00	447,00	2749,00	12,00	257,00	23,00	1,00	PAULO SERRA	3484,00	5500	4167	1333	9,59	0,09	2,90	0,11	78,90	0,34	7,38	0,66	0,03	-46,4944917	-23,7423372
L09411	119,00	2,00	172,00	111,00	7,00	256,00	2030,00	23,00	175,00	38,00	1,00	PAULO SERRA	2567,00	3903	2934	969	4,64	0,08	6,70	0,27	79,08	0,90	6,82	1,48	0,04	-46,5013444	-23,6779317
L09412	88,00	5,00	156,00	89,00	3,00	221,00	1804,00	6,00	160,00	22,00	0,00	PAULO SERRA	2244,00	3680	2554	1126	3,92	0,22	6,95	0,13	80,39	0,27	7,13	0,98	0,00	-46,4974920	-23,6703999
L09413	305,00	3,00	204,00	286,00	3,00	469,00	3106,00	45,00	467,00	112,00	2,00	PAULO SERRA	4247,00	6822	5002	1820	7,18	0,07	4,80	0,07	73,13	1,06	11,00	2,64	0,05	-46,4941589	-23,6933187
L09414	105,00	7,00	304,00	224,00	10,00	472,00	3105,00	27,00	321,00	69,00	3,00	PAULO SERRA	3951,00	6180	4647	1533	2,66	0,18	7,69	0,25	78,59	0,68	8,12	1,75	0,08	-46,4915639	-23,6674570
L09415	259,00	0,00	72,00	170,00	3,00	262,00	1612,00	18,00	198,00	18,00	3,00	PAULO SERRA	2183,00	3410	2615	795	11,86	0,00	3,30	0,14	73,84	0,82	9,07	0,82	0,14	-46,4982444	-23,7019928
L09416	276,00	3,00	139,00	195,00	8,00	372,00	2172,00	31,00	258,00	43,00	3,00	PAULO SERRA	2933,00	5036	3500	1536	9,41	0,10	4,74	0,27	74,05	1,06	8,80	1,47	0,10	-46,5010249	-23,7061886
L09417	331,00	3,00	93,00	206,00	14,00	458,00	2362,00	23,00	310,00	37,00	1,00	PAULO SERRA	3174,00	5055	3838	1217	10,43	0,09	2,93	0,44	74,42	0,72	9,77	1,17	0,03	-46,4969697	-23,7099379
L09418	213,00	0,00	125,00	187,00	5,00	360,00	2102,00	12,00	231,00	59,00	0,00	PAULO SERRA	2747,00	4501	3294	1207	7,75	0,00	4,55	0,18	76,52	0,44	8,41	2,15	0,00	-46,4874264	-23,7274119
L09419	87,00	10,00	178,00	123,00	4,00	293,00	2113,00	19,00	258,00	42,00	3,00	PAULO SERRA	2714,00	4359	3130	1229	3,21	0,37	6,56	0,15	77,86	0,70	9,51	1,55	0,11	-46,4910779	-23,6674979
L09420	370,00	4,00	221,00	292,00	14,00	559,00	3975,00	52,00	455,00	77,00	7,00	PAULO SERRA	5175,00	8241	6026	2215	7,15	0,08	4,27	0,27	76,81	1,00	8,79	1,49	0,14	-46,5015388	-23,6971990
L09421	34,00	0,00	150,00	194,00	20,00	271,00	497,00	14,00	160,00	17,00	0,00	PAULO SERRA	892,00	1918	1357	561	3,81	0,00	16,82	2,24	55,72	1,57	17,94	1,91	0,00	-46,4571000	-23,7598300
L09422	98,00	2,00	215,00	138,00	10,00	325,00	2181,00	25,00	202,00	19,00	1,00	PAULO SERRA	2753,00	4570	3216	1354	3,56	0,07	7,81	0,36	79,22	0,91	7,34	0,69	0,04	-46,5017000	-23,6746000
L09423	47,00	5,00	67,00	98,00	1,00	127,00	964,00	1,00	169,00	11,00	0,00	PAULO SERRA	1265,00	1934	1490	444	3,72	0,40	5,30	0,08	76,21	0,08	13,36	0,87	0,00	-46,4852195	-23,6739363
L09424	140,00	3,00	178,00	169,00	7,00	320,00	2388,00	13,00	223,00	47,00	2,00	PAULO SERRA	3001,00	4929	3490	1439	4,67	0,10	5,93	0,23	79,57	0,43	7,43	1,57	0,07	-46,4983968	-23,6853445
L09425	140,00	16,00	201,00	199,00	5,00	323,00	2508,00	23,00	306,00	64,00	2,00	PAULO SERRA	3265,00	4922	3787	1135	4,29	0,49	6,16	0,15	76,81	0,70	9,37	1,96	0,06	-46,4942373	-23,6786357
L09426	36,00	1,00	75,00	49,00	3,00	95,00	842,00	8,00	119,00	12,00	0,00	PAULO SERRA	1096,00	1529	1240	289	3,28	0,09	6,84	0,27	76,82	0,73	10,86	1,09	0,00	-46,4925756	-23,6731443
L09427	138,00	2,00	59,00	135,00	1,00	247,00	1292,00	10,00	166,00	20,00	0,00	PAULO SERRA	1688,00	2714	2070	644	8,18	0,12	3,50	0,06	76,54	0,59	9,83	1,18	0,00	-46,4796460	-23,7335140
L09428	74,00	13,00	136,00	129,00	2,00	305,00	1894,00	26,00	315,00	27,00	1,00	PAULO SERRA	2488,00	3819	2922	897	2,97	0,52	5,47	0,08	76,13	1,05	12,66	1,09	0,04	-46,4874189	-23,6700220
L09429	189,00	0,00	47,00	147,00	5,00	232,00	1215,00	9,00	209,00	12,00	1,00	PAULO SERRA	1687,00	2669	2066	603	11,20	0,00	2,79	0,30	72,02	0,53	12,39	0,71	0,06	-46,4936175	-23,7010656
L09430	132,00	0,00	106,00	101,00	5,00	196,00	1391,00	18,00	213,00	37,00	0,00	PAULO SERRA	1902,00	2904	2199	705	6,94	0,00	5,57	0,26	73,13	0,95	11,20	1,95	0,00	-46,4955600	-23,6916613
L09431	53,00	0,00	105,00	78,00	3,00	191,00	1392,00	16,00	104,00	27,00	2,00	PAULO SERRA	1702,00	2598	1971	627	3,11	0,00	6,17	0,18	81,79	0,94	6,11	1,59	0,12	-46,5018766	-23,6701162
L09432	58,00	1,00	187,00	95,00	5,00	212,00	1695,00	25,00	104,00	33,00	1,00	PAULO SERRA	2109,00	3184	2416	768	2,75	0,05	8,87	0,24	80,37	1,19	4,93	1,56	0,05	-46,5011458	-23,6641775
L09433	197,00	0,00	61,00	99,00	1,00	196,00	1391,00	6,00	110,00	16,00	0,00	PAULO SERRA	1782,00	2615	2077	538	11,05	0,00	3,42	0,06	78,06	0,34	6,17	0,90	0,00	-46,4956959	-23,7399046
L09434	74,00	8,00	110,00	102,00	3,00	190,00	1498,00	14,00	204,00	19,00	0,00	PAULO SERRA	1930,00	2931	2222	709	3,83	0,41	5,70	0,16	77,62	0,73	10,57	0,98	0,00	-46,4882000	-23,6744950
L09435	8,00	0,00	97,00	52,00	11,00	92,00	246,00	2,00	35,00	1,00	0,00	PAULO SERRA	400,00	829	544	285	2,00	0,00	24,25	2,75	61,50	0,50	8,75	0,25	0,00	-46,2987760	-23,7789300
L09436	46,00	3,00	111,00	49,00	6,00	103,00	914,00	16,00	70,00	7,00	1,00	PAULO SERRA	1174,00	1714	1326	388	3,92	0,26	9,45	0,51	77,85	1,36	5,96	0,60	0,09	-46,5048938	-23,6752093
